Date,SP500,BTU,MRNA,ACH,BX,CCJ,ASML,HNP,HCC,SE,HCA,MS,DHR,CARR,GOOG,AQUA,URE,GRMN,TRI
2021-01-18,-9.076000376044876,-16.869583423340153,47.420927242220216,4.342672193907191,-9.467404944747424,-7.817290426399293,21.194102229135545,-25.375619212463228,11.260046570395682,56.19420437984436,2.1733702554748917,14.357769543875449,-3.736241775563096,,-2.7392154395518635,15.301540570501254,-17.2142024009898,-2.526102481800383,-16.372445519087833
2021-01-25,-8.539786313331419,0.7748179673791366,95.15891981454119,-2.1748308075509004,-2.5919054359937173,-4.101114039096561,17.22675128769284,-26.797703347188236,14.462197275976948,45.28859964290701,3.5233718560813942,7.447007227502699,-0.46573097632475546,,-2.4724603070287485,7.326828695483445,-13.73094795604977,-6.058724500194453,-12.767694954479325
2021-02-01,-9.319299150230535,-8.451087956083516,81.58233640835071,-1.7970935588685015,-2.64963993074066,1.8332396902640726,13.922103265654002,-36.372038609552945,3.0768821520233116,58.7307712994262,6.733724771335233,10.769821123128871,-7.007274752094575,,5.194735176139685,-2.516946346446286,-11.301195997661964,-6.885881318665335,-14.458005155623926
2021-02-08,-9.372335372461885,9.351954219694347,80.9270145106521,5.560715029941766,-4.679430286367538,12.521888549813049,20.445185903058157,-35.77111412840703,2.1052161426932723,63.782004647685596,3.4112200303532263,10.940151467147368,-4.644044393854642,,3.812718923258081,-8.440880453018378,-9.115742417844507,-0.3542366882105579,-16.67581613643559
2021-02-15,-8.1990612222254,3.8779560541976656,70.47951621921298,35.644513302849845,-3.0240956068111378,19.830443613215557,20.994047197361695,-31.998736587865984,8.06768993708783,64.78602470636798,7.7666461091106225,14.519682374049525,-8.836594010104475,,5.317026164118324,-6.672375820982425,-7.683174113948576,-0.6413383621491715,-15.550711975417162
2021-02-22,-5.472806842443641,22.45704680589892,55.05420730746325,57.97184711192418,1.1779703884125425,18.103387750101927,20.697369530632475,-28.84642146636658,-3.7914066206770562,43.027780540193135,9.963928515043104,21.279646082085566,-8.790122927210007,7.0254637962611,7.381243931362754,-2.1631876631829905,-5.010922875308028,1.3306276232112997,-5.359886203653771
2021-03-01,-2.4610400398414383,18.40746912679162,33.03207788823554,50.97425149854546,-1.3414430767872114,20.930582118428458,13.936352351933563,-26.013859404603966,3.778423642221665,39.62589998726591,19.338734456563586,29.23149786762671,-7.316776223998768,9.654238324173473,13.386494467553048,-2.3041486590507936,-5.214421719170229,2.1576930920583823,-3.546156646091958
2021-03-08,-2.6181288126920585,8.46703872450509,31.577058452088032,62.241457369636485,8.703057035798253,27.05776810584666,12.318135997098029,-23.056999218584078,-4.312314117697856,36.00162123808047,18.846810079333775,29.768321467735003,-11.380301415838346,13.097951122367363,7.451342735767229,2.8710362033255223,1.871138892463663,3.223260681889813,-4.540902044811622
2021-03-15,-2.333713296079823,4.346493454891395,36.996982472974935,44.87108595960158,6.16685358278528,31.522828654504124,14.742106469454761,-23.60330559766747,-6.338697803240626,23.352325428533636,18.63370373429396,27.742220997223622,-7.861848755078974,17.08048895260758,7.233794624120716,0.49328138221754947,0.8269296384480956,2.654746557188642,-3.4830493606384723
2021-03-22,0.03910057545116954,-14.115987408534117,25.791163061008167,34.98504738030596,9.655420102011993,23.635677480660604,30.91589712391259,-21.014506013461546,-13.284724135287295,18.926868434241513,20.628674520141733,23.373756276553088,-5.072990615447782,17.115755302322366,7.359865310360809,2.1981008845523444,8.924847406320792,5.409054495869434,-1.0843769175998075
