Date,SP500,IWM,TLT,XLU,XLRE,SMH,XLK,ARKG,ARKK,ARKQ,CLOU,WCLD,PRNT,HERO,GAMR,XLC,XLF,XLY,XLP,XLV,XBI,XHB,XLI,JETS,XRT,MSOS,CGC,TAN,XLE,XOP,KRBN,XME,XLB,FCX,REMX,WOOD,PSLV,GDX,GLD,CORN,WEAT,SOYB,NIB,EEM,CHIQ,ERUS,INDA,EWY,EWJ,GBTC,ETHE,LTCN,BITW,MSTR,RIOT,MARA
2021-04-05,-1.3429642552267131,7.655833912603119,-28.465117155336173,-12.023510997033524,-7.833351572547903,12.813135623360965,0.23354858749905202,2.1364488517178333,3.6745941189083204,11.371273798672412,-7.637901913159749,-5.566214451943306,16.63699369696861,0.10118470811216632,17.495685982319053,2.1264081130204815,8.611213452720719,-1.1149266670565174,-10.733642985372875,-9.792017747686147,-13.07869172142159,13.874523617678742,3.896535191399473,15.920589157304915,32.70587496991805,,5.7965154685030145,6.316019476005671,2.8384491904768896,12.070174139294771,,18.520767026908107,0.7473079080250831,43.68397662684844,26.441213090970162,9.498128418811174,-10.064740972924838,-22.196747621348536,-21.793687392903074,5.731232992651494,-9.773696749378272,5.496521278640948,-17.669748626007024,-4.732863968144645,-3.9092401539283617,-12.067245242408426,-1.3613839541268804,6.521617450518235,-5.83963558252598,90.49647283725862,38.680618225377174,,,96.86729036307669,210.71991638433144,305.93605318067523
2021-04-12,-0.8667915318030602,7.2674930215998845,-27.32937696226746,-9.181018237304917,-5.912791885440919,9.569272436647074,0.24464434360237297,1.5833630409245465,2.819378890263252,8.863883758308873,-6.875020741695889,-4.560089037406461,13.311988398174865,0.26557494924439284,16.70829968143234,1.0250897866628594,8.240727215008448,0.014644736699430849,-9.999814497044898,-7.56280829683091,-12.551675869677076,14.114000691456452,3.4274229774216702,10.734221650694725,30.73910696833834,,0.1470294052805615,3.021218702269253,2.6077523403124134,9.60139796202602,,21.278468090634597,2.9129909007709,56.076807763775406,25.72337482475009,12.161603366836369,-8.219999545424459,-19.504299149354466,-20.468297322294156,8.32682926610042,-7.990587828855735,5.519135320909915,-15.75352188638558,-4.244332033269611,-5.091806400938331,-7.84573374096922,-3.5260243106764704,7.5272121948495005,-6.143179732498564,89.78812064161116,57.347206725701646,,,84.97586260983931,162.50684472010735,200.21851218466594
2021-04-19,-0.589307040575407,7.839883015616558,-25.858344347054313,-9.319726919993169,-3.363718589251817,8.081194226312645,0.11936942844348004,2.3074224522392144,1.9401172198538874,8.42917216119802,-7.085591634742315,-4.6494985974533405,13.299440353628974,-0.08033524892912539,15.591037347942132,0.8533603904649042,8.378921943176993,-0.8483486068915814,-9.620609514745327,-5.229685427961787,-10.273541362000858,13.835314003394092,4.02252896752993,8.502927227668131,30.54810412242394,,-1.2812053315410006,8.777383692703172,1.560387115087641,7.766255364283986,,20.3826195487285,3.4274584064395355,47.20434192986719,27.147351158242788,10.237323293355741,-7.59731368197627,-18.594544479284313,-19.625433017305337,18.090643702711322,0.31027475050724074,11.140584875318602,-15.026170733707062,-3.4394193978186833,-2.514580110978551,-6.154848082903172,-5.912975718598899,6.781009784463928,-6.777802663351638,54.15875823192066,52.93293835779773,,,60.28877036876806,117.70842977622449,138.32758023233302
2021-04-26,-0.05863294439292065,7.5195235974621815,-25.37713870192745,-8.321115979301027,-1.535993405705687,5.435492698954071,-1.5350688939159405,1.440175368663888,-0.5951155237830102,6.8097286695085035,-6.472158788056137,-5.409168332840069,10.86911527158223,-2.2638686955111718,12.321995274870572,3.399725668868349,11.2550756888332,0.15117546292060585,-8.797797883559872,-6.17615061002341,-8.093462107479498,13.954307746303968,4.5947586204611754,8.784927282886917,29.116772184880997,,-2.7293454176213316,-0.9944291027537173,6.211121372812967,14.149647936382397,,18.655359591293415,3.8807108753917476,49.53435583825342,25.93291175719039,9.451209614626736,-7.0254369920754955,-21.337093677763384,-18.97923862064586,22.833097887570176,3.8932613128325846,12.571060312384244,-16.532318528421737,-4.156293157914122,-4.39209283750683,-7.384169879395548,-3.295472763724928,4.243008081638622,-8.377133404467136,67.42368725475313,81.44302677474046,,,68.2672007597239,127.59765895838831,158.80896021083518
2021-05-03,2.781781564614596,9.127300340326203,-23.03009543387773,-7.421083385937877,-0.692328619229387,6.93551793192861,-0.4611172211512389,-6.447493974055953,-8.570563859266004,4.205579490995894,-11.298770485169753,-11.994796845309164,9.725328514671633,-2.759944536473079,11.90113222234909,5.317772456474139,17.2942451971713,0.9583675283375975,-5.636941656277845,-2.2383706869860758,-12.409227526593579,21.12605324746994,9.502926705085354,10.27360692612046,33.03414327098068,,-7.203984271351913,-9.738232254350047,17.253689895694947,24.901935827260214,,34.907620275519044,11.32763144176322,72.70361219448276,33.817498090412656,16.58467052309117,-1.091439491743308,-12.409487055441833,-14.205916085088244,36.549503885606285,9.45595716706555,19.335339691453875,-11.641895103459536,-1.4439247039081213,-5.746841699291667,0.5661533620862979,2.095147858247594,8.931589677067425,-4.485065637087079,66.33364707062674,127.70787203969583,,,57.69367149077313,78.52127633599159,114.5576569300369
2021-05-10,3.856639486763655,9.31425275680651,-21.56164274048163,-4.879279264389437,1.0262376015460757,4.572134465819819,-0.26969317332124443,-9.543524935642907,-11.226410022835726,1.5031355842933989,-9.934939318562144,-11.2534355142273,9.618212501492469,-5.761286201619762,8.599014496610899,6.186720251309902,20.064061923920107,-0.5654504281098015,-2.6594716282498343,-0.03257481758574772,-10.636768626259652,18.11723166072367,11.258308355784932,12.914440985613366,32.34179320624044,,-13.708949877715106,-11.322573539594678,19.82694480198725,26.985891810999306,,34.91059313275409,13.772288506718938,66.15406217740279,25.779277663818373,15.52506931078122,0.5440416247542644,-8.83208000754693,-11.05708940149869,21.180422412268012,4.2466163354423,19.44381929088385,-8.25226771057707,-2.2738283499076606,-9.1923729819955,2.638958786312695,3.631860484300427,7.50936088399077,-4.7888590798703365,40.80012217802513,139.10475441936904,,,33.278974474734014,38.95716706314655,56.98814192947766
2021-05-17,3.211034097233758,8.315996835999771,-20.77135093112652,-4.318221949231313,2.072417658792949,6.140794705481232,-0.375936210042322,-8.050220336189081,-10.466661906673522,2.4969488241932303,-7.961795696815463,-8.24352978794933,11.066535875574598,-2.337600652192447,10.432390422269137,5.528314281769106,18.633423603015302,-2.007611303588483,-2.4872961673105496,0.6791119989205583,-10.9018534981561,12.15604202785719,9.120895975767676,11.270244533182087,27.477668042243568,,-13.729400493510816,-5.004346363673403,16.98234864087313,26.99756636034834,,31.89573547585331,11.606780671984392,56.89498446290406,23.753071425311546,11.83337474710552,1.1021906196659956,-5.387460990864922,-9.226940788751307,21.915053963171335,0.9476150038665156,15.6310652889502,-9.09939691283607,-2.112675484004987,-6.07885870335205,3.2134201841682044,4.747359297506985,5.782666741140913,-3.491389727630599,6.050239676502614,53.476774411329394,,,13.221738842006342,19.15818458985511,38.00631397652322
2021-05-24,2.3780972091170987,8.510584435822297,-21.098910593224204,-7.1692916146355135,2.556454059444001,8.429984332644933,-0.7456959702789143,-6.4375275022418075,-7.433641117153698,3.9076948452123923,-8.08077557320844,-6.857593996789939,10.574738331154304,-1.2159138910938252,11.127621262142611,5.9588390898121135,17.227809095998744,-1.4662951868136047,-4.417652800820945,-1.7028014326129066,-11.525872386303279,12.98673770246215,8.929042726609362,12.783637966672348,26.90980596151346,,-4.204027331021979,-6.88053621687728,14.975811633818651,27.750962251802502,,33.56685067308782,9.953880652456707,57.406358103428204,28.528309188128148,9.117055276781679,0.18105634584363664,-6.667049842359822,-9.376791616902535,19.72508659461227,-1.1334281430690432,14.700054528976372,-12.515088472303699,-0.8856118880366508,-5.489861704300727,4.439163732509803,5.275600522360721,6.338762726363892,-4.218506369045735,3.2795876625041513,63.464616559214846,,,14.041886914498722,35.37965980322241,55.61177293853152
2021-05-31,2.551759396453904,8.575693641314448,-19.86771895513036,-6.903277004031072,5.3612444021427885,8.510483271685471,-0.03350837903726363,-8.829905589701283,-10.224362103160134,3.421074748230003,-8.983570029242928,-7.703668427466173,11.420018558510607,-2.2605006287411715,10.112844718557998,5.931807376601,17.770474218447752,-2.897284843977579,-3.6264554322963862,-3.0920616473392304,-12.574488475120022,9.888975078789205,8.43206870772795,10.140872616015901,25.861005491646356,,-11.395477367440213,-10.569814431278733,22.1449059935754,36.91046288918269,,32.14632929232711,9.97319319205812,50.03958069900057,33.43295002812176,6.64156083691489,-1.0034849834792015,-8.513570306372618,-9.963657221403952,25.166095008550677,2.3022889534883655,18.377322043644494,-12.549278057317817,0.6364635365730756,-3.697604458604726,7.49429336808301,7.094891402361851,7.497794213523422,-3.1032635443340144,3.9287327833539445,75.72614757449767,,,15.257550654167293,41.09280249206685,47.95588909519711
2021-06-07,1.155405851993476,8.272718694665663,-19.09085655264858,-7.234621769150104,5.6520283792885895,6.1974680272232785,-0.4158108156465868,-3.3820910751940527,-6.780543115526977,0.914201974321,-5.770813662626813,-3.365579285925098,7.1706535024806435,-2.1052602742567794,8.363921175691418,4.712540792952896,12.562779815019557,-3.3851002786389404,-5.855109028721246,-2.6872267261218243,-7.724092877331177,6.047917166670583,4.445917967141617,7.61442599876929,25.74971360384505,,-7.379831276790548,-9.395899252034663,18.995758358237875,34.77679495083793,,29.622861323631238,5.586083394868142,41.684139847390696,24.140324154605867,2.326770006638438,-2.907600715877738,-10.582619172623655,-11.736344463376009,26.81531315951693,-0.36927530458006597,15.773392623934038,-15.464693961638238,-2.3430640605363866,-6.485434837954491,6.355839042242098,4.5994616412356875,4.002478923288921,-5.488365350653721,0.5342235565429627,44.44695334294132,,,18.652581977498606,43.666901310860055,53.77235800910645
2021-06-14,-0.4327564582549923,3.832604281495088,-16.159482604520083,-9.410041927851088,3.582936068152931,4.247147700859923,-0.017690054730761157,-3.7230334342812,-4.527533250028283,-0.26664556566117276,-2.7850958225821727,2.059790383382975,3.666423611135721,-4.358758813147924,5.055258335668246,3.312027145013985,5.6415768490409475,-3.6405016470060767,-8.140777238318085,-2.8087901329305565,-8.731679803740095,2.468601381727438,0.692578062087399,3.1601264402717413,18.96025413443875,,-17.51961147726496,-6.788308593204208,12.832491834044243,25.65352180952811,,13.231144566109823,-0.7751687800880991,19.993958689847783,15.250119604441394,-2.3315510700675235,-9.412528927755778,-19.46665806359478,-16.39116851926464,17.217026299110255,-2.937120879983175,6.608642073885846,-16.67736775648513,-3.8595820152910285,-6.613059705594182,4.506685383026286,1.9310455326740483,2.308402746525331,-7.249135098317376,-3.4658516060758724,28.8558274146259,,,45.68132487825321,45.48388209347277,62.73469786869226
2021-06-21,-0.040658718379537356,5.684691282069223,-19.42575157732007,-11.310842773926161,2.147916224251771,4.262214953914988,-0.1435776509465067,-2.4898475321980613,-1.7994341221060504,3.221349906586637,-2.900764722160075,1.9360143873202187,8.304632393839226,-6.642031620513775,1.864482924675274,3.527428651567372,7.865756270418162,-2.6743115576352823,-8.821593993326564,-3.382303496031373,-7.21707274150863,2.713784714218652,0.8782058657772112,-0.14263961012691184,22.319274509823988,,-13.72806835102924,-6.121156769902891,16.091717367018134,33.370991112904605,,14.343906526698664,-1.4739055205655391,23.253980899144057,18.112208403610204,-2.258180928851197,-11.588237958432874,-20.139906402611636,-16.978481069214375,6.535102134699494,-8.364066408515628,1.3507174444300512,-17.85102343083008,-3.769739853460229,-6.029041666154778,4.1423059029483955,0.5466989978499744,2.812217223027511,-7.628835460641552,-13.190346138796826,9.703861021693708,,,19.057122245653492,41.892319257088076,50.524099980698786
2021-06-28,-0.23928014733376313,2.06522032334925,-18.481363952669692,-12.47264562997843,0.4531173317301581,4.488990042922243,1.0634597080723684,-2.5336312887868018,-1.8654056224557638,-0.33396521331546897,-4.219237088183443,-0.3186002503588972,4.259810309821857,-7.090729197640503,0.3278808743938814,3.3757640471616495,5.623726818938734,-2.74997358926501,-9.869802361507926,-2.9881051810483945,-10.053984198001517,2.9722869026026597,-0.19178773194483517,-4.309510569287402,19.123647910667373,,-19.882222976187244,-5.649509363748206,12.377838755111023,26.587156221624596,,12.49330867452055,-2.414344938587229,19.171510521651463,16.929267343583163,-2.913929097254553,-12.165802893569923,-20.78903060300966,-17.6560425880989,14.159218613720093,-7.589456134262567,7.797601247512788,-21.399686918523575,-6.674513555586781,-9.708460844887444,2.19164637784738,-1.5450170791442777,-0.4471669606615448,-9.816694857745633,-12.894743156816437,21.89547562290661,,,32.31053068433713,48.790277244636094,53.972174527883745
2021-07-05,-0.1835464643227151,0.2145348181938596,-17.119963565467884,-11.55194353125752,2.846309382201704,2.669712161965209,1.506368060075346,-5.373184538262469,-4.413324191327252,-2.4901947097637636,-3.8419507545516525,0.9807445261317055,1.9203846008747243,-9.471679932452261,-2.4137045284236107,2.2837345495643224,4.383757300026996,-2.339999172743581,-9.553476749660238,-2.7863138142621944,-11.934098215000601,1.3699540618297879,-0.4543937406141658,-6.839268649161586,17.931973383717683,,-24.032346287419955,-6.50669647846401,8.150774601085494,21.17081609478068,19.459530996656348,11.972698945635182,-2.616052036469939,15.301439438894176,29.83287355829728,-1.0613459645277163,-13.714399924976671,-20.328980059251343,-16.374457221685294,2.9697222123939016,-12.533367151493636,2.067113151585467,-20.10973518183023,-8.921948307610112,-12.221159761060754,0.10997425188993468,-2.037592816862013,-3.9807000220541364,-9.25444859843822,-16.741054601816696,18.507568174733898,,,27.854007608190894,31.071358080999527,36.53316959671468
2021-07-12,0.7605026900809442,-3.1830183121500197,-13.76463353068639,-7.13879114158565,5.653314453921063,0.29906242924063775,2.794687353044793,-11.394964330513165,-9.762535371565747,-5.847333969074539,-5.701644167755106,-2.2378676759782654,-3.7249697914771653,-9.347277260261421,-1.9345178961825378,3.1612226006633786,4.428175922296181,-2.8609157566140393,-6.338600376918456,-0.8051596420563341,-15.292335304116161,-0.03904682395816457,-0.21742190882048149,-11.360029714783963,12.614062541960855,,-31.32985620415822,-13.2919354310155,1.5011497618882568,7.882949253688169,19.350316896588147,5.99570323037148,-3.023364862942943,5.79390839220578,30.41572699541154,-3.638234482908302,-13.272808728447611,-18.966504143812198,-13.992364376316683,10.36603114369928,-1.2099122474818733,7.735278116665676,-19.941913011014805,-6.972389006662144,-12.633777468822071,0.5310849239076929,-0.4580063597468405,-1.8190159234686487,-9.02107254612047,-20.04652075941893,4.92354842461052,,,6.829593201982466,8.884087984739873,14.847110237199457
2021-07-19,-0.05889099625833918,-3.9188108910152404,-15.21063555740622,-10.046038255272553,2.979478327692088,1.4302887574431367,2.745107943184716,-11.135990340724943,-7.968285018113049,-6.745627447241234,-4.620595000432689,1.3891685965554446,-3.872038299625656,-10.538757473681779,-4.250491023888749,3.516809224878655,1.778194964456761,-2.691690635051129,-8.129724091562064,-1.2234497337383228,-16.965701251971343,1.7304481591684966,-1.3991361986437685,-11.578833094431456,13.21694097502528,,-32.96239106385176,-12.990545260346344,-1.5633556191535551,4.479080857745471,11.323123070200145,5.789502754178668,-4.925837927518082,7.9426838467441625,34.446029047670706,-4.610251338502961,-17.176128592154335,-22.108606980694134,-16.053295408871545,5.710575825813832,-5.5936237049993665,1.8437224646350046,-21.0404079636487,-11.166486645444,-18.526225898099455,-2.0084506320230777,-2.590761026867026,-5.201930363042743,-10.4994018347574,-19.773570778059042,5.350784218176468,,,5.61333836933543,7.145035281502435,15.867526625810719
2021-07-26,0.7258583273132155,-2.281788994986187,-12.991405597921734,-8.312520704240821,4.422033039621119,4.590936075231305,3.1181613691673262,-11.633265398425504,-8.884402687578863,-5.513609402732525,-4.73206384413525,0.8778764703366465,-0.9244137510736997,-12.304970782184514,-5.357333158505747,3.2263162864833856,3.480179762536787,-3.0146763048291128,-6.619505778087197,0.5453377137814267,-17.838911276709617,4.1471004724270735,-0.5379427442514644,-11.038434026813894,12.768785106184396,,-34.4846268279988,-10.009238952915911,1.3845858552819266,6.227081678145504,15.71496896687932,13.78831434822958,-1.1819842847413375,16.747151385242063,42.394258199280394,-3.431168604313925,-14.731558431576772,-16.282662698201772,-13.84313025344268,7.022145756298764,-1.7094348698708448,2.922717046975991,-18.081231763983364,-11.507173290603106,-20.679738706327274,1.299760514913802,-1.1606514352571973,-5.650173496973144,-10.273203561023028,2.602071013384946,27.914960698201558,-93.45445300237725,,21.79644637810158,24.36763939612727,28.633084964819965
2021-08-02,0.5624483065073991,-2.5086186466125038,-14.256448941941544,-7.0181269127192065,4.069931015762053,5.208389555892528,2.952863224885071,-9.951469982580226,-7.697638792352713,-6.77075112645152,-3.3526236579297612,1.9505503420581227,-2.021548216520558,-16.788014684220066,-9.573060419405682,2.5320884126418233,5.743649061023206,-3.6627421265704085,-8.06412268792029,0.1424437144860572,-15.978269824635074,3.357609819881064,-1.5213197119554567,-11.220722824246057,10.506890042141803,,-34.29865675346065,-10.730199879940187,0.4217769145159798,3.833224835787256,19.311148458601714,8.26805636979796,-2.1962047447214736,10.498645462551151,42.50210057355347,-4.902404773599905,-18.409141889952235,-20.41682865416532,-16.770457219804396,8.456130251933667,0.27312080136778133,0.9421790835656277,-15.867324642883851,-11.719525258096906,-21.163414621461882,0.7831051886833621,-0.20269259091656258,-5.12494171922728,-10.136792878986904,4.092124531808859,52.258019160279815,-91.01111937826694,,41.03852035004056,27.673448360888898,53.364955951333606
2021-08-09,1.353751535556701,-3.5964607785961515,-13.17370699598475,-5.0783994998478725,4.16432431470743,2.5796498684619524,3.1438015673149833,-14.914763715703913,-9.84424311089614,-7.157944199052999,-3.048283202245016,0.8584486381867407,-1.7305829325508342,-16.63626297924524,-10.547853149926492,3.01224120965816,7.461246337171058,-3.1910981314634776,-5.682554092326393,0.8432540004934226,-17.524831010220815,5.554524253788195,-0.14381759287142865,-12.309292218025922,10.634552100302537,-16.400223433426522,-37.841176312383965,-14.386789294161472,0.19453192676830605,1.1850816575836647,16.869065107986895,13.414732680846718,0.4504656892784006,13.07560466539549,42.14814812424776,-2.619884410012766,-19.428308517901645,-20.57928507831681,-15.23551773737302,10.06637604454462,4.589127642656609,2.0569770848875257,-11.02600139488359,-11.82018338586305,-20.455748710463777,2.7248527775646942,0.9804932167807081,-9.371295128397888,-8.850605719099992,9.637408120960982,64.6283139586187,-91.6665944206818,,34.506304940449766,27.931007741890983,43.54504049671259
